Ref_Date,GEOGRAPHY,CUTOFFBASE,STATISTICS,LICOPERSONS,Value
1976,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,2989
1977,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3025
1978,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,2864
1979,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,2990
1980,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,2794
1981,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,2828
1982,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3055
1983,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3489
1984,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3452
1985,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3290
1986,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3097
1987,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3079
1988,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,2844
1989,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,2709
1990,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3192
1991,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3607
1992,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3677
1993,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3957
1994,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3979
1995,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4152
1996,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4397
1997,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4379
1998,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,4031
1999,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3861
2000,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3743
2001,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3396
2002,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3540
2003,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3594
2004,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3545
2005,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3402
2006,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3293
2007,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,2938
2008,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3035
2009,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3128
2010,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,3007
2011,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",All persons,2959
1976,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,967
1977,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,946
1978,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,873
1979,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,911
1980,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,827
1981,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,848
1982,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,946
1983,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1040
1984,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1062
1985,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1025
1986,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,908
1987,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,897
1988,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,804
1989,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,792
1990,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,942
1991,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1036
1992,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1035
1993,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1180
1994,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1135
1995,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1225
1996,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1293
1997,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1220
1998,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1096
1999,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,1016
2000,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,967
2001,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,845
2002,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,851
2003,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,870
2004,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,884
2005,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,793
2006,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,752
2007,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,643
2008,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,607
2009,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,635
2010,Canada,"Low income cut-offs after tax, 1992 base","Number of persons in low income (x 1,000)",Persons under 18 years,550
